"GDP per capita (2017 PPP $)"
"Dimension: Income/composition of resources"
"Definition: GDP in a particular period divided by the total population in the same period."
"Source: World Bank (2020a). World Development Indicators database. Washington, DC. http://data.worldbank.org. Accessed 22 July 2020."
""
"32"," Greece","24459","","25122","","29370","","34951","","33966","","30909","","28808","","28077","","28474","","28537","","28601","","29089","","29712","","30315",""
"74"," Grenada","8814","","8665","","11614","","14246","","13412","","13443","","13208","","13428","","14317","","15143","","15614","","16218","","16801","","17242",""
"127"," Guatemala","5560","","6032","","6499","","6752","","7336","","7504","","7590","","7734","","7939","","8125","","8206","","8317","","8448","","8638",""
"178"," Guinea","1509","","1596","","1706","","1796","","1872","","1934","","2004","","2037","","2063","","2090","","2255","","2421","","2498","","2564",""
"175"," Guinea-Bissau","1995","","2088","","1723","","1678","","1747","","1840","","1761","","1770","","1741","","1800","","1864","","1925","","1949","","1989",""
"122"," Guyana","3492","","4805","","5607","","5744","","7075","","7417","","7774","","8122","","8393","","8604","","8848","","8989","","9312","","9703",""
"170"," Haiti","2200","","1765","","1829","","1638","","1611","","1674","","1697","","1744","","1767","","1764","","1766","","1764","","1767","","1729",""
"132"," Honduras","3990","","4025","","4109","","4546","","4867","","4956","","5065","","5113","","5177","","5283","","5396","","5562","","5672","","5728",""
"4"," Hong Kong, China (SAR)","28798","","34546","","36317","","43690","","51361","","53473","","53785","","55231","","56359","","57216","","58096","","59849","","61072","","59893",""
"40"," Hungary","..","","16731","","19547","","24532","","24493","","25010","","24769","","25325","","26459","","27541","","28231","","29529","","31073","","32623",""
"4"," Iceland","34361","","33169","","40780","","47496","","46832","","47567","","47928","","49440","","49911","","51739","","54408","","55562","","56158","","55874",""
"131"," India","1810","","2101","","2574","","3239","","4227","","4392","","4575","","4810","","5107","","5454","","5841","","6186","","6497","","6754",""
"107"," Indonesia","4533","","5892","","5689","","6699","","8287","","8680","","9080","","9457","","9801","","10150","","10531","","10936","","11372","","11812",""
"70"," Iran (Islamic Republic of)","8650","","9334","","10075","","11998","","13806","","14005","","12807","","12625","","13039","","12698","","14205","","14536","","14536","b","14536","b"
"123"," Iraq","7962","","4534","","8414","","7531","","9064","","9436","","10358","","10719","","10401","","10311","","11542","","10972","","10660","","10881",""
"2"," Ireland","26474","","32332","","48017","","56919","","53041","","52992","","52887","","53320","","57461","","71243","","73035","","78128","","83471","","86781",""
"19"," Israel","24489","","28486","","31568","","31348","","34928","","35928","","36067","","36869","","37527","","37633","","38372","","38967","","39543","","40162",""
"29"," Italy","36765","","39138","","43265","","44477","","42873","","43102","","41705","","40465","","40094","","40445","","41038","","41785","","42198","","42413",""
"101"," Jamaica","8591","","9958","","9343","","9917","","9435","","9545","","9433","","9425","","9436","","9471","","9551","","9598","","9738","","9761",""
"19"," Japan","32069","","34001","","35518","","37391","","37487","","37513","","38135","","38954","","39152","","39673","","39926","","40859","","41074","","41429",""
"102"," Jordan","7453","","8163","","8563","","10360","","11131","","10821","","10520","","10272","","10116","","9971","","9867","","9841","","9854","","9906",""
"51"," Kazakhstan","13476","","8553","","10276","","16536","","20751","","21970","","22703","","23721","","24356","","24290","","24211","","24863","","25544","","26351",""
"143"," Kenya","3210","","2968","","2868","","2992","","3330","","3439","","3502","","3612","","3709","","3825","","3953","","4046","","4204","","4330",""
"134"," Kiribati","2139","","2062","","2189","","2155","","1927","","1924","","1984","","2039","","1997","","2174","","2253","","2241","","2259","","2275",""
"23"," Korea (Republic of)","12670","","18140","","22988","","28671","","34431","","35427","","36088","","37061","","38008","","38870","","39857","","41001","","41894","","42661",""
"64"," Kuwait","..","","63725","","54985","","73156","","58810","","60887","","61417","","58995","","56647","","54834","","54709","","50856","","50479","","49846",""
"120"," Kyrgyzstan","5158","","2517","","3079","","3518","","4141","","4335","","4259","","4631","","4722","","4805","","4912","","5047","","5133","","5253",""
"137"," Lao People's Democratic Republic","1965","","2330","","2861","","3584","","4850","","5159","","5489","","5842","","6193","","6544","","6896","","7258","","7593","","7826",""
"37"," Latvia","..","","9492","","12855","","20142","","20953","","22679","","23912","","24732","","25444","","26490","","27207","","28489","","29942","","30830",""
"92"," Lebanon","7553","","13309","","14362","","14264","","19499","","18726","","18036","","17533","","16967","","16299","","16109","","16005","","15612","","14717",""
"165"," Lesotho","1284","","1494","","1619","","1892","","2274","","2386","","2533","","2621","","2677","","2727","","2843","","2783","","2749","","2768",""
"175"," Liberia","..","","..","","1699","","1212","","1420","","1488","","1561","","1652","","1621","","1580","","1516","","1516","","1497","","1428",""
"105"," Libya","..","","..","","16746","","19883","","22540","","8480","","18807","","16160","","12201","","11022","","10592","","13238","","15018","","15174",""
"34"," Lithuania","..","","10671","","13902","","21129","","23992","","26019","","27381","","28644","","29905","","30801","","31993","","33821","","35390","","36975",""
"23"," Luxembourg","67951","","77079","","96340","","104502","","108197","","108505","","105557","","106915","","108911","","110952","","113554","","112823","","114110","","114482",""
"164"," Madagascar","1853","","1569","","1614","","1560","","1553","","1535","","1539","","1532","","1541","","1547","","1566","","1584","","1613","","1646",""
"174"," Malawi","671","","743","","794","","780","","969","","987","","977","","999","","1027","","1027","","1025","","1038","","1043","","1060",""
"62"," Malaysia","10308","","14263","","15920","","18118","","20540","","21293","","22136","","22860","","23911","","24792","","25546","","26648","","27537","","28351",""
"95"," Maldives","..","","10597","","13357","","12607","","16304","","17014","","16708","","17132","","17567","","17283","","17583","","17989","","18509","","18914",""
"184"," Mali","1415","","1458","","1628","","1959","","2083","","2086","","2008","","1996","","2076","","2141","","2198","","2248","","2283","","2327",""
"28"," Malta","18026","","22088","","27439","","29355","","31607","","31901","","32499","","33596","","35827","","38781","","40113","","41555","","43064","","43340",""
"117"," Marshall Islands","3388","","4134","","3424","","3540","","3653","","3615","","3517","","3634","","3585","","3625","","3654","","3781","","3894","","3894","a"
"157"," Mauritania","4641","","4769","","4361","","4638","","4767","","4822","","4891","","4946","","5009","","5127","","5046","","5077","","5042","","5197",""
"66"," Mauritius","7990","","9567","","11891","","13572","","16798","","17455","","18015","","18579","","19240","","19897","","20647","","21415","","22208","","22989",""
"74"," Mexico","14971","","14831","","17783","","17815","","17817","","18213","","18623","","18628","","18907","","19288","","19612","","19796","","19992","","19746",""
"136"," Micronesia (Federated States of)","3002","","3458","","3442","","3594","","3668","","3765","","3658","","3476","","3348","","3456","","3445","","3498","","3469","","3469","a"
"90"," Moldova (Republic of)","..","","5696","","5074","","7231","","8550","","9053","","9001","","9817","","10314","","10361","","10943","","11651","","12373","","13034",""
"99"," Mongolia","4984","","4129","","4529","","5883","","7480","","8613","","9488","","10384","","10980","","11023","","10940","","11312","","11916","","12310",""
"48"," Montenegro","..","","..","","12384","","14009","","16717","","17239","","16755","","17333","","17625","","18212","","18745","","19627","","20629","","21379",""
"121"," Morocco","3819","","3822","","4373","","5230","","6284","","6525","","6628","","6831","","6915","","7130","","7109","","7314","","7438","","7515",""
"181"," Mozambique","471","","469","","631","","822","","1027","","1073","","1120","","1165","","1217","","1263","","1274","","1284","","1290","","1280",""
"147"," Myanmar","620","","775","","1094","","1912","","3130","","3280","","3491","","3753","","4020","","4269","","4483","","4740","","5029","","5142",""
"130"," Namibia","5852","","6213","","6697","","7888","","8888","","9177","","9474","","9833","","10216","","10488","","10267","","10051","","9932","","9637",""
".."," Nauru","..","","..","","..","","5620","","6706","","7339","","7996","","9921","","11463","","11295","","11183","","10682","","11487","","11599",""
